ZipCode	Zip Code
HHWHhHisp_Hh65to74y_LtUsd10k	Households with a householder who is Hispanic or Latino: Householder 65 to 74 years: Less than $10,000
HHWHhHisp_Hh65to74y_Usd10kto15k	Households with a householder who is Hispanic or Latino: Householder 65 to 74 years: $10,000 to $14,999
HHWHhHisp_Hh65to74y_Usd15kto20k	Households with a householder who is Hispanic or Latino: Householder 65 to 74 years: $15,000 to $19,999
HHWHhHisp_Hh65to74y_Usd20kto25k	Households with a householder who is Hispanic or Latino: Householder 65 to 74 years: $20,000 to $24,999
HHWHhHisp_Hh65to74y_Usd25kto30k	Households with a householder who is Hispanic or Latino: Householder 65 to 74 years: $25,000 to $29,999
HHWHhHisp_Hh65to74y_Usd30kto35k	Households with a householder who is Hispanic or Latino: Householder 65 to 74 years: $30,000 to $34,999
HHWHhHisp_Hh65to74y_Usd35kto40k	Households with a householder who is Hispanic or Latino: Householder 65 to 74 years: $35,000 to $39,999
HHWHhHisp_Hh65to74y_Usd40kto45k	Households with a householder who is Hispanic or Latino: Householder 65 to 74 years: $40,000 to $44,999
HHWHhHisp_Hh65to74y_Usd45kto50k	Households with a householder who is Hispanic or Latino: Householder 65 to 74 years: $45,000 to $49,999
HHWHhHisp_Hh65to74y_Usd50kto60k	Households with a householder who is Hispanic or Latino: Householder 65 to 74 years: $50,000 to $59,999
HHWHhHisp_Hh65to74y_Usd60kto75k	Households with a householder who is Hispanic or Latino: Householder 65 to 74 years: $60,000 to $74,999
